Organism,C.Size(Mb),GC%,CDS
Agave attenuata,0.157451,37.8353,86
Ageratina adenophora,0.150698,37.4617,86
Agrostemma githago,0.151733,36.3988,81
Agrostis stolonifera,0.136584,38.4518,85
Akebia quinata,0.157817,38.6676,85
Akebia trifoliata,0.158339,38.6506,85
Albizia odoratissima,0.174861,35.6483,92
Albuca kirkii,0.156401,37.6583,85
Aldrovanda vesiculosa,0.141568,36.8699,81
Aletris fauriei,0.15444,37.5019,84
Aletris spicata,0.154999,37.4783,85
Alliaria grandifolia,0.153964,36.0058,84
Allium cepa,0.153538,36.8085,83
Allium sativum,0.153172,36.6771,83
Alloeochaete namuliensis,0.13919,38.5998,83
Alloeochaete oreogena,0.136079,38.6401,83
Alloeochaete uluguruensis,0.139395,38.5853,83
Allomaieta villosa,0.156452,36.9116,85
Allosyncarpia ternata,0.159593,36.8218,85
Alloteropsis angusta,0.140709,38.4332,84
Alloteropsis cimicina,0.139317,38.6012,83
Alloteropsis paniculata,0.139586,38.5848,83
Alloteropsis semialata,0.138209,38.4881,83
Aloe maculata,0.153175,37.6217,85
Aloe vera,0.152875,37.6563,85
Alpinia oxyphylla,0.161351,36.1696,92
Alsophila spinulosa,0.156661,40.4344,89
Alyssum desertorum,0.151677,36.3377,86
Amana anhuiensis,0.150723,36.7389,83
Amana edulis,0.15081,36.7316,83
Amana erythronioides,0.150714,36.7172,83
Amana kuocangshanica,0.151058,36.6998,83
Amana wanzhensis,0.150576,36.7542,81
Amaranthus hypochondriacus,0.150518,36.6136,73
Amborella trichopoda,0.162686,38.337,84
Ambrosia artemisiifolia,0.152215,37.6126,87
Amentotaxus argotaenia,0.136657,35.8511,83
Amentotaxus formosana,0.13643,35.8286,83
Ammopiptanthus mongolicus,0.153935,36.8669,85
Ammopiptanthus nanus,0.15414,36.836,85
Ampelocalamus naibunensis,0.13986,38.8667,82
Ampelopteris prolifera,0.151772,42.4347,88
Amphicarpum muhlenbergianum,0.14081,38.6194,83
Amphipogon caricinus,0.135994,38.6363,83
Amphipogon turbinatus,0.135638,38.6721,83
Anacardium occidentale,0.172199,38.1152,84
Ananas comosus,0.159636,37.3731,86
Anaphalis sinica,0.152718,37.1194,85
Andrographis paniculata,0.150249,38.2858,87
Andropogon abyssinicus,0.138738,38.5295,83
Andropogon burmanicus,0.140898,38.3866,83
Andropogon chinensis,0.138817,38.5666,83
Andropogon distachyos,0.139098,38.5196,83
Andropogon fastigiatus,0.138658,38.5632,83
Androsace bulleyana,0.15211,37.2283,87
Androsace paxiana,0.150528,37.1638,86
Anemarrhena asphodeloides,0.156867,37.848,86
Anethum graveolens,0.153356,37.6523,84
Aneura mirabilis,0.108007,40.6233,62
Aneura pinguis,0.120698,40.0205,73
Angelesia splendens,0.162184,36.3482,83
Angelica acutiloba,0.147074,37.5342,85
Angelica dahurica,0.146918,37.5243,85
Angelica gigas,0.146916,37.5596,85
Angiopteris evecta,0.153901,35.4806,88
Angophora costata,0.160326,36.7551,85
Angophora floribunda,0.160245,36.7575,85
Ankyra judayi SAG 17.84,0.157224,28.3125,69
Anoectochilus emeiensis,0.15265,36.8745,81
Anomochloa marantoidea,0.138412,38.6599,85
Anthericum ramosum,0.155812,37.2924,82
Anthoceros angustus,0.161162,32.9023,90
Anthriscus cerefolium,0.154719,37.4201,85
Aphyllanthes monspeliensis,0.157009,36.8068,85
Apios americana,0.148772,35.4979,82
Apopellia endiviifolia,0.120546,35.8942,88
Apostasia odorata,0.159285,35.7403,86
Aquilaria sinensis,0.159565,37.1078,87
Arabidopsis arenicola,0.15461,36.3515,85
Arabidopsis arenosa,0.154871,36.3722,85
Arabidopsis cebennensis,0.154504,36.3609,85
Arabidopsis croatica,0.154728,36.3586,85
Arabidopsis halleri,0.154671,36.3598,85
Arabidopsis lyrata,0.154678,36.3504,85
Arabidopsis lyrata subsp. lyrata MN47,0.154923,36.3503,85
Arabidopsis neglecta,0.154799,36.3736,85
Arabidopsis pedemontana,0.154895,36.3194,85
Arabidopsis petrogena,0.154865,36.3788,85
Arabidopsis suecica,0.154366,36.3092,85
Arabidopsis thaliana,0.154478,36.2938,85
Arabidopsis umezawana,0.154645,36.3607,85
Arabis alpina,0.152866,36.4489,86
Arabis hirsuta JO23,0.153689,36.3962,84
Aralia undulata,0.156333,38.0975,87
Archibaccharis asperifolia,0.151984,37.3717,85
Archidendron lucyi,0.17687,35.2106,92
Ardisia polysticta,0.156506,37.0701,87
Aristida rufescens,0.137659,38.5264,82
Arracacia xanthorrhiza,0.143989,37.4779,71
Artemisia argyi,0.151192,37.4597,84
Artemisia capillaris,0.151056,37.4596,88
Artemisia frigida,0.151076,37.4758,87
Artemisia gmelinii,0.151318,37.4232,88
Artemisia montana,0.15113,37.477,86
Arthraxon hispidus,0.140507,38.2792,82
Arthraxon lanceolatus,0.140381,38.283,82
Arthraxon microphyllus,0.139858,38.2853,82
Arthraxon prionodes,0.140486,38.2729,83
Arundinaria appalachiana,0.139547,38.908,83
Arundinaria fargesii,0.139696,38.8801,83
Arundinaria gigantea,0.138935,38.9326,83
Arundinaria tecta,0.139499,38.9157,82
Arundinella deppeana,0.140804,38.3732,83
Arundo plinii,0.137128,38.623,97
Asclepias nivea,0.161592,37.9202,85
Asclepias syriaca,0.158719,37.8291,83
Asparagus officinalis,0.156699,37.5886,83
Asparagus schoberioides,0.156875,37.5675,86
Asplenium pekinense,0.152479,41.1617,88
Asplenium prolongatum,0.151115,40.847,87
Aster altaicus,0.152446,37.3424,84
Aster spathulifolius,0.14951,37.7085,87
Asterionellopsis glacialis ccmp1717,0.146024,31.1189,145
Astragalus mongholicus,0.123582,34.0907,76
Astragalus mongholicus var. nakaianus,0.123633,34.0726,75
Athyrium anisopterum,0.151284,43.9842,87
Athyrium opacum,0.150979,43.6922,88
Athyrium sheareri,0.151068,43.5479,88
Athyrium sinense,0.151319,43.7592,88
Atropa belladonna Ab5p(kan),0.156687,37.5641,85
Atuna racemosa,0.162718,36.2566,83
Aureococcus anophagefferens CCMP 1984,0.089599,35.987,105
Aureoumbra lagunensis CCMP 1507,0.094346,33.6389,110
Austroblechnum melanocaulon,0.150202,43.6818,88
Auxenochlorella protothecoides,0.084576,30.7593,78
Avena sterilis,0.135887,38.5055,84
Averrhoa carambola,0.155965,36.5383,83
Axonopus fissifolius,0.13925,38.6434,83
Axonopus ramosus,0.139596,38.5863,82
Azadirachta indica,0.160737,37.4873,86
Aztecaster matudae,0.151925,37.4092,85
Baccharis genistelloides,0.153239,37.1668,84
Baccharis tricuneata,0.15236,37.2978,85
Bambusa emeiensis,0.139493,38.9095,84
Bambusa multiplex,0.139394,38.9106,85
Bambusa oldhamii,0.13935,38.9214,82
Barbarea verna,0.154532,36.4339,85
Barclaya longifolia,0.15836,39.133,85
Barnardia japonica,0.156079,37.6777,84
Barthea barthei,0.155951,36.9853,82
Bathycoccus prasinos RCC 1105,0.0727,43.326,52
Berberis amurensis,0.166636,38.0356,94
Berberis bealei,0.164792,38.1438,104
Berberis koreana,0.166758,38.0372,94
Bergenia scopulosa,0.156041,37.7651,85
Bertolonia acuminata,0.156045,36.9669,85
Beschorneria septentrionalis,0.157043,37.7718,85
Betula nana,0.160579,36.0651,86
Blakea schlimii,0.155862,37.0578,85
Blakiella bartsiifolia,0.151965,37.2875,85
Bletilla ochracea,0.157431,37.2932,78
Bletilla striata,0.157393,37.2304,78
Boldia erythrosiphon UTEX LB2858,0.226658,27.0474,187
Bostrychia moritziana,0.17175,28.4012,214
Bostrychia simpliciuscula,0.167514,26.5446,202
Bostrychia tenella,0.170809,28.5758,206
Boswellia sacra,0.160543,37.6142,93
Bothriochloa alta,0.137645,38.5513,83
Botryococcus braunii,0.172826,42.4514,80
Bowenia serrulata,0.165695,39.8558,87
Brachiaria fragrans,0.139753,38.7255,82
Brachypodium distachyon,0.135199,38.5698,81
Bracteacoccus aerius UTEX 1250,0.165732,31.7102,68
Bracteacoccus giganteus,0.242897,33.2878,78
Bracteacoccus minor UTEX 66,0.192761,31.9323,69
Brasenia schreberi,0.158951,39.0454,83
Brassaiopsis hainla,0.156459,37.9173,87
Brassica juncea,0.153483,36.3597,85
Brassica napus ZY036,0.15286,36.3234,87
Brassica nigra,0.153633,36.3861,87
Brassica rapa,0.153482,36.3606,0
Braya humilis,0.154243,36.2091,84
Bruinsmia polysperma,0.157879,36.7693,85
Bryopsis hypnoides,0.153429,33.1202,69
Bryopsis plumosa West4718,0.106859,30.7648,87
Bryothamnion seaforthii,0.175547,29.4912,216
Bulboplastis apyrenoidosa NIES-2742,0.610063,23.2551,171
Bunias erucago,0.153742,36.2315,85
Bunias orientalis,0.154012,36.1433,85
Bupleurum boissieuanum,0.156108,37.6605,84
Bupleurum falcatum,0.155989,37.6578,84
Bupleurum latissimum,0.155621,37.6408,83
Burmeistera auriculata,0.165772,39.1761,87
Burmeistera borjensis,0.163961,39.138,87
Burmeistera ceratocarpa,0.16582,39.0689,87
Burmeistera crispiloba,0.16535,39.212,87
Burmeistera cyclostigmata,0.165032,39.1863,87
Burmeistera cylindrocarpa,0.164865,39.22,87
Burmeistera domingensis,0.165547,39.1979,87
Burmeistera fuscoapicata,0.165222,39.1001,87
Burmeistera loejtnantii,0.165888,39.1354,87
Burmeistera lutosa,0.165367,39.113,87
Burmeistera oyacachensis,0.164048,39.1727,87
Burmeistera parviflora,0.164989,39.2299,87
Burmeistera pirrensis,0.165353,39.2282,87
Burmeistera resupinata,0.166128,39.174,87
Burmeistera rubrosepala,0.165466,39.1978,87
Burmeistera smaragdi,0.165288,39.1511,87
Burmeistera sodiroana,0.165511,39.2361,87
Buxus microphylla,0.15901,38.068,86
Cabomba caroliniana,0.164057,38.2739,95
Cajanus cajan,0.153841,34.9348,80
Cakile arabica,0.153378,36.412,85
Calanthe triplicata,0.158759,36.7374,88
Calliarthron tuberculosum,0.178981,29.1573,201
Callitris rhomboidea,0.121117,34.7102,81
Calocedrus formosana,0.127311,34.8328,82
Caloglossa beccarii,0.165038,26.8653,201
Caloglossa intermedia,0.166397,31.006,209
Caloglossa monosticha,0.165111,28.2144,200
Calycanthus floridus var. glaucus,0.153337,39.2684,86
Camassia scilloides,0.155453,37.5657,83
Camelina sativa,0.153044,36.4804,84
Camellia azalea,0.157039,37.2971,87
Camellia crapnelliana,0.156997,37.2982,89
Camellia cuspidata,0.156618,37.3131,89
Camellia danzaiensis,0.156576,37.3397,87
Camellia grandibracteata,0.157127,37.2915,87
Camellia impressinervis,0.156892,37.3276,89
Camellia leptophylla,0.157102,37.2993,87
Camellia petelotii,0.157121,37.2904,87
Camellia pitardii,0.156585,37.3356,89
Camellia pubicosta,0.157076,37.3023,87
Camellia reticulata,0.156971,37.3082,88
Camellia sinensis,0.157103,37.3061,87
Camellia taliensis,0.156974,37.3196,89
Camellia yunnanensis,0.156592,37.325,89
Campanula takesimana,0.169551,38.8031,83
Camptotheca acuminata,0.162382,38.0104,82
Campynema lineare,0.156261,36.9222,84
Cannabis sativa,0.153871,36.6703,86
Capillipedium venustum,0.138257,38.5102,83
Capsella bursa-pastoris JO22,0.15449,36.5545,85
Capsella grandiflora,0.154638,36.5447,85
Capsella rubella,0.154601,36.5425,84
Capsicum annuum,0.156781,37.7252,86
Capsicum chacoense,0.156995,37.6757,87
Capsicum chinense,0.156807,37.7279,86
Capsicum eximium,0.156947,37.7229,87
Capsicum frutescens,0.156817,37.721,86
Capsicum galapagoense,0.156959,37.7149,87
Capsicum lycianthoides,0.156583,37.7557,83
Capsicum tovarii,0.156816,37.7213,87
Caragana korshinskii,0.129331,34.3584,76
Caragana kozlowii,0.131274,34.495,76
Caragana microphylla,0.130029,34.2624,76
Cardamine limprichtiana,0.153746,36.0452,71
Carex neurocarpa,0.181397,33.8743,81
Carica papaya,0.1601,36.8907,84
Carissa macrocarpa,0.155297,38.0381,85
Carludovica palmata,0.158545,37.7445,86
Carnegiea gigantea,0.113064,36.6783,67
Carpinus putoensis,0.159673,36.4457,83
Carpinus tientaiensis,0.160104,36.3857,71
Carteria cerasiformis,0.318967,38.1102,78
Carthamus tinctorius,0.153114,37.7869,84
Carum carvi,0.155449,37.7699,80
Caryopteris mongholica,0.151707,38.2402,86
Cassytha filiformis,0.114622,36.9257,67
Castanea henryi,0.160807,36.7528,83
Castanea mollissima,0.160799,36.7639,83
Castanopsis concinna,0.160606,36.8031,82
Castanopsis echinocarpa,0.160647,36.7346,84
Catharanthus roseus,0.15495,38.091,87
Cathaya argyrophylla,0.107122,38.7829,70
Cattleya crispata,0.148343,37.2677,78
Cattleya liliputana,0.147092,37.3515,78
Caulerpa cliftonii,0.131135,37.6353,111
Caulerpa racemosa,0.176522,33.6389,91
Cedrus deodara,0.119299,39.1445,75
Centaurea diffusa,0.152559,37.731,90
Centropogon nigricans,0.165515,39.1813,87
Cephalanthera longifolia,0.161877,37.211,86
Cephalotaxus oliveri,0.134337,35.2509,82
Cephalotaxus wilsoniana,0.136196,35.0789,82
Cerataulina daemon,0.120144,31.1959,132
Ceratophyllum demersum,0.156252,38.2222,85
Ceratozamia hildae,0.165734,39.6907,87
Chaenomeles japonica,0.160088,36.5543,83
Chaetoceros simplex,0.116459,32.0697,131
Chaetosphaeridium globosum,0.131183,29.6243,98
Chamaecyparis formosensis,0.127211,34.993,83
Chamaetrichon basiliensis,0.189599,30.7765,89
Chara vulgaris,0.184933,26.1922,105
Characiochloris acuminata,0.19718,37.2137,73
Chasechloa egregia,0.140371,38.5892,82
Chasechloa madagascariensis,0.137987,38.6189,81
Chasmanthium laxum,0.141203,38.7322,83
Chenopodium album,0.152167,37.2485,84
Chenopodium quinoa,0.152099,37.2415,84
Chenopodium quinoa,0.152282,37.229,0
Chikusichloa aquatica,0.136563,39.0443,83
Chimonocalamus longiusculus,0.139821,38.8668,82
Chionanthus retusus,0.155687,37.7578,87
Chlamydomonas reinhardtii,0.203828,34.455,69
Chloranthus japonicus,0.15864,38.8616,86
Chloranthus spicatus,0.157772,38.8878,86
Chlorella sorokiniana crs4,0.109811,34.0248,78
Chlorella vulgaris,0.150613,31.5597,174
Chloris truncata,0.135584,38.2582,85
Chloris virgata,0.134561,38.286,85
Chlorogalum pomeridianum,0.157288,37.7321,84
Chlorokybus atmophyticus SAG 48.80,0.152254,36.2086,114
Chlorotetraedron incus SAG 43.81,0.193197,27.0506,69
Choricystis parasitica,0.094206,45.4451,79
Christella appendiculata,0.151571,42.4877,88
Nicotiana sylvestris,0.155941,37.8464,101
Chromerida sp. RM11,0.085535,47.7419,81
Chromochloris zofingiensis UTEX 56,0.188935,30.8672,68
Chrysanthemum indicum,0.150972,37.4785,83
Chrysanthemum x morifolium,0.151033,37.4806,85
Chrysobalanus icaco,0.162775,36.1732,83
Chrysopogon gryllus,0.140034,38.4464,83
Chrysopogon orientalis,0.140712,38.3677,83
Chrysopogon serrulatus,0.1407,38.3753,84
Chrysopogon zizanioides,0.139971,38.4544,83
Cicer arietinum,0.125319,33.9063,75
Cinnamomum camphora,0.15257,39.1394,84
Cinnamomum micranthum,0.152675,39.1308,79
Cinnamomum verum,0.152766,39.1579,81
Circaeaster agrestis,0.151033,38.1566,85
Cistanche deserticola,0.102657,36.7837,31
Cistanthe longiscapa,0.15683,36.7022,85
Citrullus amarus,0.157008,37.1739,85
Citrullus colocynthis,0.157147,37.1417,86
Citrullus lanatus subsp. vulgaris,0.156906,37.1789,85
Citrullus rehmii,0.157135,37.1407,85
Citrus aurantiifolia,0.159893,38.4395,93
Citrus depressa,0.16012,38.4793,87
Citrus platymamma,0.160121,38.4796,89
Citrus sinensis,0.160129,38.4821,87
Clausena excavata,0.161172,38.2827,86
Clematis terniflora,0.159528,37.9965,90
Cliftonaea pectinata,0.174482,27.9817,214
Closterium baillyanum,0.201341,39.3129,95
Coccinia grandis,0.157035,37.0669,85
Cochlearia borzaeana,0.154599,36.118,83
Cochlearia islandica,0.15457,36.1306,83
Cochlearia pyrenaica,0.154569,36.1179,83
Cochlearia tridactylites,0.154718,36.1057,83
Cocos nucifera,0.154731,37.4392,85
Codium decorticatum,0.091509,29.0518,78
Coelachne africana,0.135041,38.2691,82
Coffea arabica,0.155189,37.4311,85
Coffea canephora,0.154751,37.4712,86
Coix lacryma-jobi,0.140745,38.4603,104
Colchicum autumnale,0.156462,37.5644,86
Coleochaete scutata,0.107236,27.6381,82
Colobanthus quitensis,0.151276,36.6859,81
Colocasia esculenta,0.162424,36.1591,86
Compsopogon caeruleus,0.221013,26.0012,195
Conyza bonariensis,0.153014,37.1626,87
Cordyline indivisa,0.155196,37.8405,84
Coreanomecon hylomeconoides,0.158824,38.7416,87
Coriandrum sativum,0.146519,37.2757,78
Cornus controversa,0.158674,37.7951,87
Corylus avellana,0.159641,36.5295,77
Corylus chinensis,0.159915,36.4894,81
Corylus fargesii,0.159856,36.5066,80
Corylus heterophylla,0.159587,36.4785,79
Corymbia eximia,0.160012,36.7847,85
Corymbia gummifera,0.160713,36.7512,85
Corymbia henryi,0.160095,36.7763,85
Corymbia maculata,0.160045,36.7897,85
Corymbia tessellaris,0.160127,36.7677,85
Corymbia torelliana,0.159994,36.7839,84
Corynocarpus laevigatus,0.159202,36.5573,83
Coscinodiscus radiatus ccmp310,0.122213,30.4133,139
Cosmarium botrytis,0.20785,39.7878,89
Costaria costata,0.129947,30.868,139
Couepia caryophylloides,0.161887,36.2809,83
Couepia grandiflora,0.16209,36.2903,83
Couepia guianensis,0.162125,36.3096,83
Couepia ovalifolia,0.161926,36.3129,83
Couepia paraensis,0.161924,36.3146,83
Couepia polyandra,0.162045,36.3436,83
Couepia rankiniae,0.162045,36.3078,83
Couepia sandwithii,0.162065,36.3052,83
Couepia subcordata,0.162019,36.3013,83
Cressa cretica,0.141419,38.5776,82
Crinipes abyssinicus,0.137909,38.6436,83
Crinipes longifolius,0.13803,38.6155,83
Crithmum maritimum,0.158355,37.5542,88
Crucihimalaya wallichii JS5,0.155199,36.4223,85
Cryptocarya chinensis,0.157718,39.0672,81
Cryptoglena skujai SAG 10.88,0.106843,26.2591,66
Cryptomeria japonica,0.13181,35.3797,82
Cucumis melo,0.156017,36.9203,88
Cucumis sativus,0.155293,37.0789,85
Cucumis x hytivus,0.15576,36.9151,74
Cunninghamia lanceolata,0.135334,35.0016,81
Cupressus chengiana,0.128151,34.7278,82
Cupressus gigantea,0.128244,34.7057,82
Curcuma flaviflora,0.160478,36.2866,86
Cuscuta exaltata,0.125373,38.1159,67
Cuscuta gronovii,0.086744,37.7167,62
Cuscuta obtusiflora,0.085286,37.835,61
Cuscuta reflexa,0.121521,38.2206,69
Cyanidioschyzon merolae strain 10D,0.149987,37.6293,207
Cyanidium caldarium RK1,0.164921,32.7314,197
Cycas panzhihuaensis,0.16247,39.3888,109
Cycas revoluta,0.162489,39.3793,109
Cycas taitungensis,0.163403,39.4522,122
Cyclocarya paliurus,0.160562,36.0882,89
Cylindrocystis brebissonii,0.136938,29.8106,90
Cylindrotheca closterium ccmp1855,0.165809,30.4857,161
Cymbidium aloifolium,0.156904,36.869,78
Cymbidium ensifolium,0.157484,37.2635,78
Cymbidium faberi,0.157262,36.9848,78
Cymbidium goeringii,0.157192,36.8537,79
Cymbidium kanran,0.150217,37.095,78
Cymbidium lancifolium,0.149945,37.1176,75
Cymbidium macrorhizon,0.14985,37.0277,75
Cymbidium mannii,0.155308,36.9369,78
Cymbidium sinense,0.155548,37.0342,78
Cymbidium tortisepalum,0.155627,37.027,78
Cymbidium tracyanum,0.156286,36.8011,78
Cymbomonas tetramitiformis PLY262,0.084524,36.9859,76
Cymbopogon flexuosus,0.139715,38.4626,83
Cynanchum auriculatum,0.16084,37.7555,87
Cynanchum wilfordii,0.161241,37.7677,87
Cynara baetica,0.152548,37.7108,87
Cynara cornigera,0.15255,37.7083,87
Cynara humilis,0.152585,37.7049,87
Cynodon dactylon,0.134297,38.3754,83
Cypripedium formosanum,0.178131,33.8919,87
Cypripedium macranthos,0.15705,37.8217,83
Cyrtomium devexiscapulae,0.151684,42.3308,89
Cyrtomium falcatum,0.151628,42.3286,88
Cystopteris chinensis,0.151269,42.913,88
Cytinus hypocistis,0.0194,29.8866,15
Dacrycarpus imbricatus,0.133811,37.2316,82
Dactyladenia bellayana,0.162281,36.2033,83
Dactyladenia buchneri,0.16211,36.197,83
Dactyladenia floretii,0.162288,36.1992,83
Daiswa dunniana,0.157174,37.2657,82
Daiswa fargesii,0.157518,37.2878,86
Daiswa yunnanensis,0.156737,37.3103,84
Danthoniopsis dinteri,0.139169,38.6918,83
Daphne kiusiana,0.171491,36.7092,89
Dasya naccarioides,0.17097,27.375,201
Dasyclonium flaccidum,0.170203,28.0929,204
Datura stramonium,0.155871,37.8756,87
Daucus carota subsp. sativus,0.155911,37.6555,85
Davidia involucrata,0.169085,38.0383,82
Decaisnea insignis,0.158683,38.4729,85
Dendrobium aphyllum,0.151524,37.6006,72
Dendrobium brymerianum,0.15183,37.6019,72
Dendrobium catenatum,0.152221,37.4659,76
Dendrobium chrysanthum,0.15179,37.5631,72
Dendrobium chrysotoxum,0.153953,37.6037,63
Dendrobium crepidatum,0.151717,37.5746,72
Dendrobium denneanum,0.151565,37.6261,72
Dendrobium devonianum,0.151945,37.5471,72
Dendrobium ellipsophyllum,0.152026,37.5021,72
Dendrobium exile,0.151294,37.6763,72
Dendrobium falconeri,0.15189,37.4949,72
Dendrobium fanjingshanense,0.152108,37.5141,72
Dendrobium fimbriatum,0.151673,37.598,72
Dendrobium gratiosissimum,0.151829,37.5745,72
Dendrobium henryi,0.15185,37.5561,72
Dendrobium hercoglossum,0.151939,37.5624,72
Dendrobium huoshanense,0.153188,37.4879,76
Dendrobium jenkinsii,0.151717,37.6009,72
Dendrobium lohohense,0.151812,37.5636,72
Dendrobium moniliforme,0.148778,37.5452,73
Dendrobium nobile,0.15366,37.4977,77
Dendrobium parciflorum,0.150073,37.667,72
Dendrobium parishii,0.151689,37.5789,72
Dendrobium pendulum,0.153038,37.4835,76
Dendrobium primulinum,0.150767,37.5805,72
Dendrobium salaccense,0.151104,37.3054,72
Dendrobium spatella,0.151829,37.5818,72
Dendrobium strongylanthum,0.153059,37.6182,77
Dendrobium wardianum,0.151788,37.6005,71
Dendrobium wilsonii,0.15208,37.5125,72
Dendrobium xichouense,0.152052,37.5102,72
Dendrocalamus latiflorus,0.139394,38.9199,85
Dendropanax dentiger,0.156687,37.9578,87
Dendropanax morbifer,0.156366,37.9872,87
Deparia lancea,0.151011,43.9008,88
Deparia pycnosora,0.151126,44.009,88
Deparia viridifrons,0.150939,43.7846,88
Derbesia sp. WEST4838,0.115765,29.6532,97
Dichaetaria wightii,0.135248,38.7008,83
Dichanthelium acuminatum,0.140122,38.6513,83
Dichanthium sericeum,0.138271,38.5063,83
Dichrostachys cinerea,0.16124,35.9421,83
Dicloster acuatus,0.169201,30.0246,87
Dictyomenia sonderi,0.168768,28.2619,201
Didymosphenia geminata BCC011,0.117972,31.61,130
Dieffenbachia seguine,0.163699,36.3881,86
Digenea simplex,0.174848,29.7756,207
Dimeria ornithopoda,0.140629,38.3939,83
Dionaea muscipula,0.117589,38.3862,67
Dioon spinulosum,0.161815,40.11,87
Dioscorea elephantipes,0.152609,37.1518,84
Dioscorea zingiberensis,0.15397,37.2189,86
Diospyros blancoi,0.157745,37.3831,85
Diospyros glaucifolia,0.157593,37.383,87
Diospyros kaki,0.157784,37.3942,87
Diospyros lotus,0.15759,37.3856,87
Diospyros oleifera,0.157724,37.3938,87
Diplaziopsis cavaleriana,0.151934,43.1016,87
Diplaziopsis javanica,0.151496,42.5925,88
Diplazium bellum,0.151601,42.6389,88
Diplazium dilatatum,0.151114,43.9046,88
Diplazium dushanense,0.150179,43.1585,88
Diplazium striatum,0.150779,43.8489,88
Diplazium unilobum,0.12784,43.6256,83
Diplopanax stachyanthus,0.157522,37.7839,87
Diplopterygium glaucum,0.151007,40.1637,40
Diplostephium alveolatum,0.152265,37.3691,85
Diplostephium antioquense,0.152027,37.3894,85
Diplostephium apiculatum,0.152277,37.3523,85
Diplostephium azureum,0.152124,37.3426,85
Diplostephium barclayanum,0.151974,37.3893,85
Diplostephium cajamarquillense,0.15207,37.3841,85
Diplostephium callilepis,0.15211,37.3749,85
Diplostephium camargoanum,0.152249,37.3585,85
Diplostephium cayambense,0.151206,37.4853,85
Diplostephium cinerascens,0.152169,37.3775,85
Diplostephium cinereum,0.152554,37.314,85
Diplostephium colombianum,0.152314,37.3452,85
Diplostephium coriaceum,0.15229,37.338,85
Diplostephium costaricense,0.152048,37.4092,85
Diplostephium crypteriophyllum,0.151665,37.3943,85
Diplostephium empetrifolium,0.152461,37.3466,85
Diplostephium ericoides,0.151982,37.3992,85
Diplostephium eriophorum,0.151802,37.4317,85
Diplostephium espinosae,0.152091,37.3592,85
Diplostephium floribundum,0.151768,37.4163,85
Diplostephium foliosissimum,0.15226,37.325,85
Diplostephium frontinense,0.152365,37.3314,85
Diplostephium glandulosum,0.1514,37.4736,85
Diplostephium glutinosum,0.152229,37.3359,85
Diplostephium gnidioides,0.152144,37.3692,85
Diplostephium goodspeedii,0.152006,37.3939,85
Diplostephium gynoxyoides,0.151662,37.4497,85
Diplostephium haenkei,0.152292,37.3329,85
Diplostephium hartwegii,0.151994,37.387,85
Diplostephium heterophyllum,0.152223,37.3695,85
Diplostephium hippophae,0.152197,37.3562,85
